id,version,instrument,judge,n_evidence,present,in_zone
fp_03,clean,jlens,judgeA,10,10,1
fp_03,clean,jlens,judgeB,0,0,0
fp_03,clean,jlens,judgeB,9,0,0
fp_04,anomalous,jlens,judgeA,8,6,4
fp_04,anomalous,jlens,judgeA,13,13,4
fp_04,anomalous,jlens,judgeB,5,0,0
fp_04,anomalous,jlens,judgeB,9,0,0
fp_04,clean,jlens,judgeA,0,0,0
fp_04,clean,jlens,judgeA,5,0,0
fp_04,clean,jlens,judgeB,0,0,0
fp_04,clean,jlens,judgeB,10,0,0
fp_06,anomalous,jlens,judgeA,0,0,0
fp_06,anomalous,jlens,judgeA,10,10,1
fp_06,anomalous,jlens,judgeB,0,0,0
fp_06,anomalous,jlens,judgeB,10,0,0
fp_06,clean,jlens,judgeA,10,10,9
fp_06,clean,jlens,judgeA,10,10,6
fp_06,clean,jlens,judgeB,0,0,0
fp_06,clean,jlens,judgeB,8,0,0
bug_02,anomalous,rlens,judgeA,13,12,0
bug_02,anomalous,logit,judgeA,9,9,0
bug_02,anomalous,rlens,judgeB,12,0,0
bug_02,anomalous,logit,judgeB,24,1,0
bug_02,clean,rlens,judgeA,11,11,0
bug_02,clean,logit,judgeA,0,0,0
bug_02,clean,rlens,judgeB,17,0,0
bug_02,clean,logit,judgeB,0,0,0
fp_02,anomalous,rlens,judgeA,10,10,0
fp_02,anomalous,logit,judgeA,8,8,0
fp_02,anomalous,rlens,judgeB,8,0,0
fp_02,anomalous,logit,judgeB,5,1,0
fp_02,clean,rlens,judgeA,0,0,0
fp_02,clean,logit,judgeA,0,0,0
fp_02,clean,rlens,judgeB,5,0,0
fp_02,clean,logit,judgeB,0,0,0
bug_03,anomalous,rlens,judgeA,0,0,0
bug_03,anomalous,logit,judgeA,0,0,0
bug_03,anomalous,rlens,judgeB,3,0,0
bug_03,anomalous,logit,judgeB,5,0,0
bug_03,clean,rlens,judgeA,12,12,0
bug_03,clean,logit,judgeA,0,0,0
bug_03,clean,rlens,judgeB,18,18,3
bug_03,clean,logit,judgeB,0,0,0
bug_05,anomalous,rlens,judgeA,13,13,0
bug_05,anomalous,logit,judgeA,13,13,0
bug_05,anomalous,rlens,judgeB,8,1,0
bug_05,anomalous,logit,judgeB,8,0,0
bug_05,clean,rlens,judgeA,0,0,0
bug_05,clean,logit,judgeA,10,10,1
bug_05,clean,rlens,judgeB,13,0,0
bug_05,clean,logit,judgeB,0,0,0
fp_03,anomalous,rlens,judgeA,12,12,1
fp_03,anomalous,logit,judgeA,9,9,1
fp_03,anomalous,rlens,judgeB,4,0,0
fp_03,anomalous,logit,judgeB,3,3,1
fp_03,clean,rlens,judgeA,0,0,0
fp_03,clean,logit,judgeA,0,0,0
fp_03,clean,rlens,judgeB,5,0,0
fp_03,clean,logit,judgeB,6,1,0
fp_04,anomalous,rlens,judgeA,8,8,5
fp_04,anomalous,logit,judgeA,6,5,0
fp_04,anomalous,rlens,judgeB,8,0,0
fp_04,anomalous,logit,judgeB,14,2,0
fp_04,clean,rlens,judgeA,0,0,0
fp_04,clean,logit,judgeA,6,0,0
fp_04,clean,rlens,judgeB,5,0,0
fp_04,clean,logit,judgeB,6,0,0
fp_06,anomalous,rlens,judgeA,11,11,0
fp_06,anomalous,logit,judgeA,0,0,0
fp_06,anomalous,rlens,judgeB,7,0,0
fp_06,anomalous,logit,judgeB,5,0,0
fp_06,clean,rlens,judgeA,8,8,2
fp_06,clean,logit,judgeA,0,0,0
fp_06,clean,rlens,judgeB,8,0,0
fp_06,clean,logit,judgeB,7,0,0
