instrument,delta,val,lo,hi
jlens,Δ1 scan−prompt,-0.2148760330578512,-0.46694214876033047,0.012396694214875992
jlens,Δ2 scan−reconstruction,0.1074380165289257,-0.3018595041322314,0.4710743801652893
jlens,Δ3 permuted−chance,0.28099173553719015,0.02066115702479343,0.45867768595041314
rlens,Δ1 scan−prompt,-0.16115702479338845,-0.30165289256198335,-0.016528925619834656
rlens,Δ2 scan−reconstruction,0.49173553719008267,0.23140495867768596,0.7933884297520661
rlens,Δ3 permuted−chance,0.2024793388429752,0.012293388429752028,0.39266528925619826
logit,Δ1 scan−prompt,-0.12396694214876025,-0.2975206611570247,0.04958677685950419
logit,Δ2 scan−reconstruction,0.3223140495867769,0.04958677685950419,0.5702479338842976
logit,Δ3 permuted−chance,0.2851239669421488,0.1114669421487603,0.4463842975206611
